seed,source,k,operator,class,support,recall,d_recall,prediction_flip_rate,mean_l1_to_k1
0,M2,100,late_product,2,420,0.84761904761904761,-0.097619047619047605,0.1357142857142857,0.28035736083984375
0,M2,100,late_product,3,508,0.71850393700787396,-0.13385826771653553,0.27755905511811024,0.6097378134727478
0,M2,100,late_product,4,556,0.79316546762589923,-0.15107913669064754,0.18884892086330934,0.39240127801895142
0,M2,100,late_product,5,545,0.74678899082568806,-0.22752293577981653,0.26422018348623855,0.52562046051025391
0,M2,100,late_product,6,23,0.47826086956521741,-0.30434782608695654,0.34782608695652173,0.71092569828033447
0,M2,100,late_product,7,10,0.59999999999999998,0,0,0.25363796949386597
0,M2,100,late_product,8,32,0.5,-0.21875,0.34375,0.76994228363037109
0,M2,100,late_product,9,25,0.47999999999999998,-0.32000000000000006,0.44,0.95519959926605225
0,M2,100,late_product,10,49,0.65306122448979587,0,0.30612244897959184,0.645743727684021
0,M2,100,late_product,11,27,0.44444444444444442,0.22222222222222221,0.29629629629629628,0.7211986780166626
0,M1,1,late_mean,0,496,0.97177419354838712,0,0,0
0,M1,1,late_mean,1,471,0.93842887473460723,0,0,0
0,M1,1,late_mean,2,420,0.94047619047619047,0,0,0
0,M1,1,late_mean,3,508,0.81692913385826771,0,0,0
0,M1,1,late_mean,4,556,0.92446043165467628,0,0,0
0,M1,1,late_mean,5,545,0.96146788990825693,0,0,0
0,M1,1,late_mean,6,23,0.78260869565217395,0,0,0
0,M1,1,late_mean,7,10,0.69999999999999996,0,0,0
0,M1,1,late_mean,8,32,0.6875,0,0,0
0,M1,1,late_mean,9,25,0.83999999999999997,0,0,0
0,M1,1,late_mean,10,49,0.59183673469387754,0,0,0
0,M1,1,late_mean,11,27,0.18518518518518517,0,0,0
0,M1,5,late_mean,0,496,0.9536290322580645,-0.01814516129032262,0.034274193548387094,0.1601104736328125
0,M1,5,late_mean,1,471,0.89808917197452232,-0.040339702760084917,0.061571125265392782,0.17602670192718506
0,M1,5,late_mean,2,420,0.89523809523809528,-0.045238095238095188,0.057142857142857141,0.14690898358821869
0,M1,5,late_mean,3,508,0.73818897637795278,-0.078740157480314932,0.13188976377952755,0.30284228920936584
0,M1,5,late_mean,4,556,0.89568345323741005,-0.02877697841726623,0.055755395683453238,0.23321911692619324
0,M1,5,late_mean,5,545,0.95229357798165137,-0.0091743119266055606,0.0091743119266055051,0.22659184038639069
0,M1,5,late_mean,6,23,0.78260869565217395,0,0,0.37964546680450439
0,M1,5,late_mean,7,10,0.69999999999999996,0,0.10000000000000001,0.27872481942176819
0,M1,5,late_mean,8,32,0.6875,0,0.03125,0.26382720470428467
0,M1,5,late_mean,9,25,0.83999999999999997,0,0.12,0.24844919145107269
0,M1,5,late_mean,10,49,0.53061224489795922,-0.061224489795918324,0.14285714285714285,0.28160053491592407
0,M1,5,late_mean,11,27,0.037037037037037035,-0.14814814814814814,0.18518518518518517,0.28292536735534668
0,M1,100,late_mean,0,496,0.9536290322580645,-0.01814516129032262,0.038306451612903226,0.2354099452495575
0,M1,100,late_mean,1,471,0.89384288747346075,-0.044585987261146487,0.065817409766454352,0.25881156325340271
0,M1,100,late_mean,2,420,0.88571428571428568,-0.054761904761904789,0.071428571428571425,0.21599984169006348
0,M1,100,late_mean,3,508,0.72637795275590555,-0.090551181102362155,0.15157480314960631,0.44526815414428711
0,M1,100,late_mean,4,556,0.89028776978417268,-0.034172661870503607,0.061151079136690649,0.34290137887001038
0,M1,100,late_mean,5,545,0.95045871559633033,-0.011009174311926606,0.011009174311926606,0.33315727114677429
0,M1,100,late_mean,6,23,0.86956521739130432,0.086956521739130377,0.086956521739130432,0.55819147825241089
0,M1,100,late_mean,7,10,0.69999999999999996,0,0.10000000000000001,0.40980798006057739
0,M1,100,late_mean,8,32,0.6875,0,0.125,0.38790434598922729
0,M1,100,late_mean,9,25,0.88,0.040000000000000036,0.16,0.36529403924942017
0,M1,100,late_mean,10,49,0.53061224489795922,-0.061224489795918324,0.14285714285714285,0.41403639316558838
0,M1,100,late_mean,11,27,0.07407407407407407,-0.1111111111111111,0.22222222222222221,0.41598448157310486
0,M2,1,late_mean,0,496,0.97177419354838712,0,0,0
0,M2,1,late_mean,1,471,0.93842887473460723,0,0,0
0,M2,1,late_mean,2,420,0.94047619047619047,0,0,0
0,M2,1,late_mean,3,508,0.81692913385826771,0,0,0
0,M2,1,late_mean,4,556,0.92446043165467628,0,0,0
0,M2,1,late_mean,5,545,0.96146788990825693,0,0,0
0,M2,1,late_mean,6,23,0.78260869565217395,0,0,0
0,M2,1,late_mean,7,10,0.69999999999999996,0,0,0
0,M2,1,late_mean,8,32,0.6875,0,0,0
0,M2,1,late_mean,9,25,0.83999999999999997,0,0,0
0,M2,1,late_mean,10,49,0.59183673469387754,0,0,0
0,M2,1,late_mean,11,27,0.18518518518518517,0,0,0
0,M2,5,late_mean,0,496,0.8286290322580645,-0.14314516129032262,0.16330645161290322,0.1601104736328125
0,M2,5,late_mean,1,471,0.88747346072186839,-0.050955414012738842,0.13588110403397027,0.17602668702602386
0,M2,5,late_mean,2,420,0.85476190476190472,-0.085714285714285743,0.11666666666666667,0.1469089686870575
0,M2,5,late_mean,3,508,0.75590551181102361,-0.061023622047244097,0.24015748031496062,0.30284228920936584
0,M2,5,late_mean,4,556,0.80935251798561147,-0.11510791366906481,0.17086330935251798,0.23321911692619324
0,M2,5,late_mean,5,545,0.78532110091743124,-0.1761467889908257,0.23119266055045873,0.22659184038639069
0,M2,5,late_mean,6,23,0.52173913043478259,-0.26086956521739135,0.30434782608695654,0.37964546680450439
0,M2,5,late_mean,7,10,0.59999999999999998,-0.099999999999999978,0.10000000000000001,0.27872481942176819
0,M2,5,late_mean,8,32,0.53125,-0.15625,0.25,0.26382717490196228
0,M2,5,late_mean,9,25,0.64000000000000001,-0.19999999999999996,0.23999999999999999,0.24844919145107269
0,M2,5,late_mean,10,49,0.65306122448979587,0.061224489795918324,0.24489795918367346,0.28160053491592407
0,M2,5,late_mean,11,27,0.40740740740740738,0.22222222222222221,0.33333333333333331,0.28292536735534668
0,M2,100,late_mean,0,496,0.81451612903225812,-0.157258064516129,0.18145161290322581,0.23540996015071869
0,M2,100,late_mean,1,471,0.87685774946921446,-0.061571125265392768,0.1464968152866242,0.25881156325340271
0,M2,100,late_mean,2,420,0.84523809523809523,-0.095238095238095233,0.13333333333333333,0.2159997969865799
0,M2,100,late_mean,3,508,0.70669291338582674,-0.11023622047244097,0.30314960629921262,0.44526809453964233
0,M2,100,late_mean,4,556,0.78597122302158273,-0.13848920863309355,0.20863309352517986,0.34290134906768799
0,M2,100,late_mean,5,545,0.73211009174311925,-0.22935779816513768,0.28256880733944956,0.33315733075141907
0,M2,100,late_mean,6,23,0.43478260869565216,-0.34782608695652178,0.39130434782608697,0.55819147825241089
