split,dataset,seed,source,operator,k,ordering,n,max_linf,mean_abs,pred_changes
grid,MHEALTH,0,M3,late_mean,5,shuffle_B,1987,1.1920928955078125e-07,3.590399760638596e-09,0
grid,MHEALTH,0,M3,cpsa,5,reverse,1987,2.980232238769531e-07,3.3994718163758077e-09,0
grid,MHEALTH,0,M3,cpsa,5,shuffle_A,1987,2.980232238769531e-07,2.6351776941191566e-09,0
grid,MHEALTH,0,M3,cpsa,5,shuffle_B,1987,2.980232238769531e-07,3.750049929650576e-09,0
grid,MHEALTH,0,M3,late_product,8,reverse,1987,3.9637088775634766e-06,3.5885848336280926e-09,0
grid,MHEALTH,0,M3,late_product,8,shuffle_A,1987,1.9669532775878906e-06,1.7305887216456824e-09,0
grid,MHEALTH,0,M3,late_product,8,shuffle_B,1987,2.384185791015625e-06,2.1613921195617718e-09,0
grid,MHEALTH,0,M3,late_mean,8,reverse,1987,1.7881393432617188e-07,3.585418989861073e-09,0
grid,MHEALTH,0,M3,late_mean,8,shuffle_A,1987,1.1920928955078125e-07,2.2176222348539284e-09,0
grid,MHEALTH,0,M3,late_mean,8,shuffle_B,1987,1.1920928955078125e-07,2.4101766777892487e-09,0
grid,MHEALTH,0,M3,cpsa,8,reverse,1987,2.384185791015625e-07,2.7251729854730447e-09,0
